C_p_avg,C_n_avg,δ_SEI_nm,c_f_Ah,P_kW,ΔC_p_avg,ΔC_n_avg,Δδ_SEI_pm,Δc_f_μAh
5175.0,5896.0,6.800000000000001,48.5,-2.9,-15.344110135692043,43.69126693416862,5.810014319653351e-6,4.10964090334639e-5
8176.5,12971.2,46.1,35.4,-12.5,-11.96975709950047,34.08303563690068,3.4084682887594093e-7,2.410937379252534e-6
2380.5,23584.0,36.9,15.4,-0.9,-12.131318196379754,34.54306941843721,2.2407962516340103e-8,1.584999179886675e-7
7452.0,11497.2,47.00000000000001,40.4,-22.2,-12.817419940140178,36.49669554374465,4.3285112960515044e-7,3.0617182840113033e-6
2898.0000000000005,11202.4,15.200000000000001,25.7,-46.4,-14.158874107146602,40.316391281873834,1.2450680975402522e-6,8.806833339110225e-6
4243.5,6485.6,1.3,36.1,38.0,-15.623469695160287,44.48672349538699,6.288838132867038e-6,4.448330934044399e-5
8176.5,10612.8,20.5,0.9,31.9,-12.902315561142675,36.738429812201964,1.2824557364325094e-6,9.07129012289373e-6
3105.0,13855.599999999999,16.9,25.3,26.3,-14.339182195891492,40.82980579506809,5.879636363329093e-7,4.1588871844608005e-6
4554.0,10318.0,10.299999999999999,42.7,27.0,-15.521027844118827,44.19502757951624,1.769251017313508e-6,1.2514575608606454e-5
7555.5,11497.2,19.0,30.5,-8.7,-13.848990322713188,39.434019151814574,1.025049117790891e-6,7.2505566262768126e-6
4968.0,6485.6,19.1,22.8,48.1,-14.744227328560182,41.983143124861776,3.2377462154634015e-6,2.290179257685075e-5
4243.5,22994.4,46.7,2.1,-11.4,-13.487890946410932,38.405814251023635,1.6597214769150275e-8,1.173983211473296e-7
6624.0,12971.2,6.4,0.7,-0.3,-15.530751918567287,44.22271619285677,1.0577830408544646e-6,7.482095933665445e-6
4140.0,23289.2,21.4,47.9,-17.4,-14.269460733151485,40.63127886762106,3.462725510952145e-8,2.449315546216935e-7
5796.000000000001,13560.800000000001,18.700000000000003,9.5,1.8,-15.105958033930584,43.01314569045132,5.69546647666165e-7,4.028616920435297e-6
6003.0,13560.800000000001,7.6000000000000005,45.3,-37.4,-15.770426357223826,44.905172183061914,8.597154609478011e-7,6.0810896998979855e-6
6624.0,16508.800000000003,23.599999999999998,24.3,24.3,-14.446778206416429,41.136177815041435,2.2408721657191363e-7,1.58505287676455e-6
7969.5,6780.400000000001,46.6,6.3,-41.0,-12.005960148614042,34.186121255356944,1.5121883811286776e-6,1.069627522884033e-5
4761.0,21815.2,49.5,40.8,-1.0,-13.635892753038931,38.827238913844894,2.1037667451470393e-8,1.4880730737118068e-7
5278.5,13855.599999999999,8.1,32.4,-38.8,-15.884690141712323,45.23053021719241,7.77449563497719e-7,5.499192171749503e-6
6520.5,12086.8,49.7,19.8,40.3,-13.47584971571346,38.37152769938741,3.1227800597349116e-7,2.208859386495759e-6
2794.5,13560.800000000001,34.9,10.6,49.3,-13.163865316375,37.48317421715298,3.673406303926318e-7,2.5983379679736813e-6
